brand,processor_brand,processor_name,ram_gb,ram_type,ssd_gb,hdd_gb,os,os_bit,graphic_card_gb,weight,warranty_years,Touchscreen,msoffice,Price_USD,rating_stars,Number of Ratings,Number of Reviews,,,
Asus,Intel,Core i3,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,443.88,4,70,9,,,
Dell,Intel,Core i3,8,DDR4,256,0,Windows,64,0,Casual,1,No,No,582,3,0,0,,,
Asus,Intel,Core i3,8,DDR4,256,0,Windows,64,0,Casual,0,No,No,587.88,3,0,0,,,
Asus,Intel,Celeron Dual,4,LPDDR4,0,512,Windows,32,0,Casual,0,No,No,281.88,4,632,92,,,
HP,Intel,Core i3,4,DDR4,256,0,Windows,64,0,Casual,1,Yes,Yes,650.86,4,71,8,,,
Asus,Intel,Core i3,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,455.88,4,990,108,,,
HP,Intel,Core i3,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,515.88,4,158,18,,,
HP,Intel,Core i3,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,515.88,4,681,59,,,
Asus,Intel,Core i3,4,DDR4,512,0,Windows,64,0,Casual,1,No,No,431.88,4,130,12,,,
Asus,Intel,Core i3,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,515.88,4,30,4,,,
Asus,Intel,Core i3,8,LPDDR4X,512,0,Windows,32,0,Casual,1,Yes,Yes,623.88,4,6,2,,,
Asus,Intel,Core i3,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,587.88,4,174,30,,,
Asus,Intel,Core i3,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,515.88,4,40,7,,,
Lenovo,Intel,Core i3,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,467.88,3,13,1,,,
Dell,Intel,Core i3,8,DDR4,512,0,Windows,64,0,ThinNlight,0,No,No,551.88,4,184,29,,,
HP,Intel,Core i3,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,509.88,4,1296,126,,,
HP,Intel,Core i3,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,527.64,4,571,56,,,
Asus,Intel,Core i3,4,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,479.88,4,2551,297,,,
MSI,Intel,Core i3,8,DDR4,512,0,Windows,64,0,ThinNlight,0,No,No,587.88,4,17,3,,,
HP,Intel,Core i3,8,DDR4,512,0,Windows,64,0,Casual,1,No,Yes,659.88,4,35,3,,,
MSI,Intel,Core i3,8,DDR4,512,0,Windows,64,0,ThinNlight,0,No,No,491.88,4,118,17,,,
